ID,Name,Target Muscle,Duration_Seconds,Posture_Tags,Pain_Keywords,Step1,Step2,Step3,Camera_Angle,Camera_Instruction,Difficulty,Emoji
S01,Neck Side Tilt,Sternocleidomastoid,30,"neck,forward_head","neck pain,stiff neck,headache",Sit up straight and relax your shoulders.,Slowly tilt your right ear toward your right shoulder until you feel a gentle stretch on the left side of your neck.,Hold for 30 seconds then repeat on the other side.,front,Sit facing the camera so it can see your head tilt to each side.,Easy,🧘
S02,Neck Forward Nod,Suboccipital Muscles,25,"neck,forward_head","neck tension,text neck,headache",Sit tall with your shoulders relaxed and feet flat on the floor.,Gently tuck your chin toward your chest as if making a double chin.,Hold the position and breathe slowly for 25 seconds.,side,Sit with your right side facing the camera so it can see your chin tuck and neck curve.,Easy,😌
S03,Neck Rotation Stretch,Cervical Rotators,30,"neck,forward_head","stiff neck,neck tightness,limited range",Sit upright with your shoulders down and back.,Slowly turn your head to the right as far as is comfortable without pain.,Hold 15 seconds then turn to the left and hold 15 seconds.,standing_front,Stand facing the camera so it can verify your head rotation is even on both sides.,Easy,🔄
S04,Upper Trap Stretch,Upper Trapezius,30,"neck,shoulder","neck pain,shoulder tension,headache",Sit straight and hold the edge of your chair seat with your right hand.,Tilt your left ear toward your left shoulder and place your left hand lightly on top of your head.,Hold 30 seconds then switch sides.,front,Sit facing the camera so it can see your head tilt and confirm your shoulder stays down.,Easy,💆
S05,Sky Gazer Stretch,Anterior Neck (SCM & Scalenes),20,"neck,forward_head","neck stiffness,morning neck pain,fatigue",Sit tall with shoulders relaxed and hands resting on your thighs.,Slowly tilt your head back until you are looking straight up at the ceiling.,Keep your mouth closed and jaw relaxed — hold this position for 20 seconds.,side,Sit with your side facing the camera so it can track the tilt of your head.,Easy,🌤️
S06,Shoulder Roll,Deltoid and Trapezius,20,"shoulder,upper_back","shoulder tightness,hunched shoulders,rounded shoulders",Sit or stand tall with your arms resting at your sides.,Roll both shoulders up toward your ears then backward and down in a smooth circle.,Continue rolling slowly for 20 seconds.,front,Sit or stand facing the camera so it can see both shoulders moving in equal circles.,Easy,🔁
S07,Doorway Chest Opener,Pectoralis Major,30,"chest,shoulder","tight chest,rounded shoulders,poor posture",Stand next to your desk and raise both arms to shoulder height with elbows bent at 90 degrees.,Gently press your hands and forearms backward as if pushing against a doorframe.,Hold the open position for 30 seconds and breathe deeply.,standing_front,Stand facing the camera with arms raised so it can see your chest opening and elbows at shoulder level.,Easy,🚪
S08,Seated Shoulder Squeeze,Rhomboids,25,"shoulder,upper_back","upper back pain,rounded shoulders,shoulder blade pain",Sit up straight with feet flat and hands resting on your thighs.,Draw both shoulder blades toward each other as if trying to hold a pencil between them.,Hold the squeeze for 25 seconds then slowly release.,front,Sit facing the camera so it can confirm both shoulder blades are moving equally.,Easy,💪
S09,Cross-Body Shoulder Stretch,Posterior Deltoid,30,"shoulder,upper_back","shoulder soreness,tight shoulders,back of shoulder pain",Sit or stand and bring your right arm straight across your chest at shoulder height.,Use your left hand to gently pull your right arm closer to your body.,Hold 30 seconds then switch arms.,standing_side,Stand with your right side facing the camera so it can see your arm crossing your body at the correct height.,Easy,🤗
S10,Chest Stretch Arms Back,Pectoralis Minor,25,"chest,shoulder,upper_back","tight chest,forward shoulders,breathing tension",Stand up straight and clasp your hands behind your lower back.,Gently straighten your arms and lift your hands slightly while squeezing your shoulder blades together.,Hold the stretch for 25 seconds.,standing_side,Stand with your side facing the camera so it can see your arms behind your back and your chest lifting forward.,Easy,🌟
